,EruptionYear,SulphateTg,MeanBefore,StDevBefore,MeanAfter,MinAfter,Significance
0,529.0,59.64,,,,,
1,567.0,13.28,-34.65666666666667,1.4103224892943897,-35.2175,-36.07,1.0021348621055057
2,589.0,2.71,-35.41733333333333,1.3046864246502563,-35.4525,-36.98,1.197733522126257
3,619.0,16.4,-35.284,0.8370082778221838,-35.605,-35.94,0.7837437423042561
4,664.0,8.13,-35.14200000000001,1.3229145313068635,-35.13999999999999,-36.48,1.0114032073396464
5,738.0,4.3,-35.04466666666667,0.9879912280312353,-35.995000000000005,-36.99,1.9689783452933944
6,744.0,7.9,-34.114999999999995,0.8131727983645286,-34.142500000000005,-34.46,0.4242640687119364
7,854.0,11.28,-34.940000000000005,1.0937745915602803,-36.080000000000005,-37.49,2.3313761534379736
8,870.0,14.57,-35.66916666666666,1.3607515191869874,-35.3725,-36.58,0.6693605118130126
9,893.0,2.84,-35.467333333333336,0.8864090209271074,-35.78,-36.1,0.7137412320160625
10,898.0,15.5,-34.92,,-34.605000000000004,-35.69,
11,901.0,,,,-34.52666666666667,-35.02,
12,933.0,31.83,-34.93266666666666,0.9049740853958714,-36.3725,-38.15,3.555166258629326
13,961.0,4.08,-34.66733333333334,1.209288259778493,-33.4625,-34.39,-0.2293360008176527
14,992.0,8.22,-35.3,1.0412355298257112,-35.582499999999996,-37.08,1.7095075504174826
15,1001.0,11.83,-35.221999999999994,0.7026165383763743,-35.11749999999999,-36.86,2.3312858586920555
16,1018.0,7.07,-35.42846153846154,1.046771593630039,-34.29,-35.17,-0.24691302289283096
17,1045.0,2.77,-35.383333333333326,0.7653539486189804,-35.5525,-37.65,2.9615926993735258
18,1060.0,2.57,-35.559999999999995,0.880386278857183,-35.3725,-35.61,0.05679325223572153
19,1122.0,14.14,-35.900666666666666,1.0359499896000675,-35.2325,-36.6,0.6750647621545087
20,1167.0,29.54,-35.61866666666667,1.0004418071651195,-35.4675,-36.05,0.43114285133241886
21,1176.0,45.76,-35.85,0.6371420563736165,-35.345,-36.59,1.161436437286554
22,1188.0,6.94,-35.7425,1.0431374378698692,-35.7025,-36.79,1.0041821546919443
23,1195.0,17.31,-35.20333333333333,1.1288194423083515,-35.4525,-38.53,2.9470316881359544
24,1206.0,5.41,-35.07285714285714,1.572012662011286,-35.405,-36.71,1.0414310881238364
25,1227.0,58.64,-34.868,1.1565354666910506,-35.595,-36.01,0.9874318885069371
26,1258.0,145.8,-35.556666666666665,1.274640939170527,-36.395,-37.18,1.2735612700386978
27,1275.0,6.49,-35.33461538461538,1.1211944180546562,-35.5575,-36.21,0.7807607684164771
28,1284.0,23.05,-34.67,0.36530808915215646,-34.8525,-35.73,2.901660355948178
29,1341.0,5.62,-35.602,1.0180527631569154,-34.587500000000006,-35.78,0.17484359007880687
30,1370.0,5.12,-36.29933333333334,1.4989256470012424,-34.8775,-35.8,-0.3331274865649995
31,1416.0,5.47,-34.914,1.4500285711470857,-35.595,-36.38,1.011014561485696
32,1452.0,44.6,-35.042,1.1199630095932382,-35.12,-36.16,0.9982472549750048
33,1459.0,21.92,-34.766666666666666,0.416453278692022,-34.4875,-35.04,0.6563361301700077
34,1476.0,14.85,-35.620000000000005,1.2602512976915887,-34.9125,-36.07,0.35707164184180085
35,1480.0,7.36,,,-35.879999999999995,-36.39,
36,1503.0,1.72,-35.35666666666666,1.0553988187726315,-34.9525,-36.07,0.6758898348615778
37,1512.0,4.24,-34.556,1.0716949192750702,-34.3825,-37.04,2.3178238091118892
38,1526.0,3.54,-35.626,0.9725019280186539,-35.345,-36.34,0.7341887758049876
39,1584.0,24.23,-34.79133333333333,1.133016622414105,-34.7775,-36.71,1.693414402498874
40,1600.0,46.08,-34.97083333333333,0.8989535161744606,-35.6125,-37.53,2.8468286965018224
41,1641.0,33.81,-34.946000000000005,1.1390459667132462,-36.0125,-38.27,2.9182316580177243
42,1673.0,6.34,-35.018,1.1775774163207158,-34.025,-35.69,0.5706631179286954
43,1719.0,31.48,-35.582,1.1366756039307908,-35.7575,-37.18,1.405854048836696
44,1729.0,12.02,-34.788333333333334,1.0113439902756467,-34.227500000000006,-34.68,-0.10711818567667318
45,1755.0,7.96,-35.02133333333334,0.9980542975972699,-35.435,-36.3,1.281159421631608
46,1761.0,8.41,-35.81,0.4242640687119295,-35.620000000000005,-37.9,4.92617724226626
47,1783.0,92.96,-35.36266666666667,1.1873828764295415,-35.4475,-36.8,1.2105053575097755
48,1796.0,6.7,-34.31888888888889,1.0345463310606793,-35.69,-36.22,1.837627812339707
49,1809.0,27.56,-35.06,1.8311130494865684,-35.415,-35.62,0.3058249189786591
50,1815.0,58.69,-35.614999999999995,0.40305086527633227,-36.3775,-36.85,3.0641293851417206
51,1831.0,16.97,-34.95583333333334,1.1668641607732106,-35.89,-36.87,1.6404365915208643
52,1835.0,26.36,,,-35.0975,-36.62,
53,1883.0,11.16,-35.02733333333333,1.363275816693362,-35.7625,-36.43,1.0288942629884312
54,1912.0,11.04,-35.22333333333334,1.2560633893618742,-36.085,-36.99,1.4065107554517526
55,1925.0,11.15,-35.81666666666667,1.4751949023773094,-35.7775,-36.75,0.6326847603860632
56,1943.0,6.61,-34.68071428571429,1.2249675932022057,-35.52,-36.9,1.8117097355075684
57,1963.0,6.0,-35.924,1.4062960468651584,-34.8025,-36.11,0.1322623358108852
58,1976.0,4.72,-34.93333333333333,0.6364943047663495,-35.3375,-37.83,4.5509702835911545
59,1982.0,11.2,,,,,
60,1991.0,15.05,,,,,
