Year,Bunt_Precip,Wilson_Precip,Bunt_Temp,Am_Temp,Vint_Temp,Kob_Temp,Beu_temp,Alley_Temp,Sulphate
500,127.75,,-0.150991961,,,-31.919125,,,
501,115.76,,-0.404085663,,,-31.853125,,,
502,92.70,,-1.04426385,,,-31.786875,,,
503,108.95,,1.104551306,,,-31.721625,,,
504,109.27,,-0.860646851,,,-31.6565,,,
505,65.61,,0.236092524,,,-31.590625,,,
506,98.14,,0.087213876,,,-31.5245,,,
507,92.49,,-0.815983257,,,-31.45875,,,
508,98.34,,-0.369347312,,,-31.392,,,
509,63.48,,-0.101365745,,,-31.324875,,-30.8616,
510,53.81,,-0.026926421,,,-31.257,,,
511,50.61,,-0.652216743,,,-31.188625,,,
512,132.94,,-0.523188582,,,-31.118625,,,
513,67.82,,-0.781244905,,,-31.04975,,,
514,102.99,,-1.217955607,,,-30.97925,,,
515,103.17,,-0.741543932,,,-30.908,,,
516,105.45,,-1.113740553,,,-30.83625,,,
517,85.17,,-0.632366257,,,-30.76325,,,
518,80.81,,-0.503338095,,,-30.727375,,,
519,85.31,,-0.865609473,,,-30.704875,,-30.972,
520,87.43,,-0.657179365,,,-30.682625,,,
521,70.85,,-0.329646339,,,-30.658375,,,
522,84.43,,-0.36438469,,,-30.6345,,,
523,131.61,,0.553700307,,,-30.610125,,,
524,80.18,,0.459410497,,,-30.585,,,
525,126.21,,-0.200618177,,,-30.55925,,,
526,123.26,,-0.905310445,,,-30.53225,,,
527,107.52,,0.072326011,,,-30.505875,,,
528,113.77,,-2.260106144,,,-30.545125,,,
529,117.40,,-1.108777931,,,-30.611,,-31.0504,59.64
530,69.27,,-0.473562366,,,-30.677375,,,
531,75.77,,-1.133591039,,,-30.74325,,,
532,80.72,,-0.756431797,,,-30.809125,,,
533,104.92,,-0.314758474,,,-30.874375,,,
534,106.73,,-0.27009488,,,-30.9395,,,
535,107.81,,-0.835833743,,,-31.005875,,,
536,63.82,,-1.525638146,,,-31.0715,,,
537,122.48,,-2.572751306,,,-31.13775,,,
538,102.40,,-2.121152739,,,-31.20375,,,
539,76.51,,-1.892872145,,,-31.2705,,-31.1224,
540,39.27,,-2.036788172,,,-31.338,,,
541,65.52,,-2.289881874,,,-31.40575,,,
542,142.16,,-2.03182555,,,-31.473875,,,
543,114.31,,-2.77125617,,,-31.542625,,,
544,91.92,,-2.508237225,,,-31.611875,,,
545,112.70,,-3.069013466,,,-31.682125,,,
546,33.78,,-2.235293036,,,-31.7525,,,
547,104.18,,-2.056638658,,,-31.823125,,,
548,66.25,,-2.116190118,,,-31.895,,,
549,122.15,,-2.944947926,,,-31.96725,,-31.2064,
550,126.59,,-2.349433333,,,-32.04,,,
551,8.19,,-2.220405172,,-35.14,-32.113375,,,
552,102.84,,-1.739030876,,-35.15,-32.1875,,,
553,116.48,,-2.225367793,,-34.13,-32.154125,,,
554,64.61,,-1.297357552,,-34.41,-32.07475,,,
555,104.07,,-1.108777931,,-34.57,-31.996125,,,
556,113.55,,-0.92019831,,-34.28,-31.918625,,,
557,90.78,,-0.6422915,,-32.58,-31.84125,,,
558,136.00,,-0.414010906,,-32.96,-31.7635,,,
559,139.89,,-0.538076446,,-36.09,-31.68725,,,
560,112.25,,-0.696880338,,-34.54,-31.610125,,,
561,87.07,,-1.441273579,,-34.06,-31.53375,,,
